structure,total_energy
La1Mg1,-242.188383915
Ti1V1,-132.05433304
La1Ag1,-369.444952525
Er1Hg1,-593.88321773
Al1Rh1,-127.7819878
Pr1Y1,-297.027444325
Ti1Ga1,-197.117754105
Dy1Mg1,-400.876381685
Rb1Se1,-46.1303651
Ag1Pd1,-270.17096975
Ca1In1,-109.661951285
Nd1O1,-285.849630965
Gd1Dy1,-722.409929135
Pm1Tm1,-749.86912998
Nb1W1,-244.543689885
Zr1Pd1,-176.168949195
Cd1Se1,-82.502177095
Pr1Nd1,-515.808038095
Mo1W1,-148.094834475
Pr1O1,-271.439552775
Cs1Ir1,-122.15850525
Mn1Sb1,-197.73894934
Li1F1,-31.579773035
Tl1In1,-144.558105815
B1C1,-12.187045265
