structure,total_energy
Dy1P1,-391.635634725
Yb1S1,-513.38434312
Sc1Pd1,-172.524550995
B1Sb1,-95.453065805
Cu1Au1,-339.13036506
Y1Bi1,-138.89188353
Ca1Zn1,-268.007697515
Zr1Sc1,-95.46401236
Li1S1,-19.23037294
Nd1Zr1,-314.67598909
Be1Co1,-163.20835515
Pd1O1,-147.06883055
Mo1C1,-77.595538315
Fe1Cu1,-365.180421375
Tl1Pb1,-502.073359745
Ga1Ru1,-231.788890835
Dy1Au1,-521.94122065
Cd1N1,-70.811575145
Cu1Br1,-222.026929985
Gd1Mg1,-354.26814225
Er1Ir1,-529.61742492
Be1O1,-34.7341493
Tb1Pt1,-465.64325615
Ir1Pd1,-217.383629845
Mn1Sn1,-184.923415435
Lu1Sb1,-628.050820525
Zr1P1,-56.691769705
Al1Ag1,-162.871736725
Fe1Rh1,-271.88136481
K1F1,-80.064636965
Ni1O1,-192.07138409
Lu1Zn1,-766.32145354
Rb1Bi1,-116.95227979
Zr1Te1,-62.85464741
Dy1Zr1,-434.070336735
Pr1Zn1,-481.345047465
Ce1Cd1,-298.48146204
Ca1N1,-47.515429495
Tm1Au1,-606.34828388
Zn1Rh1,-339.091703845
Ag1N1,-153.57073001
Tb1Sb1,-452.668991995
Dy1In1,-456.75430144
Lu1Bi1,-628.223460925
Yb1Au1,-638.64946616
Ta1Au1,-208.25187497
Ta1V1,-143.36069997
Eu1Pb1,-747.02402428
Rb1B1,-27.468463575
Zr1S1,-61.68322747
Sc1Al1,-65.191446675
Be1Te1,-27.292725595
Ce1Sb1,-330.02208882
Ho1Rh1,-519.126144295
Ga1Ni1,-309.07926184
Sm1Mg1,-314.675179205
Sr1Eu1,-352.275980575
K1Br1,-76.06656624
Sr1Yb1,-536.236376445
Tl1N1,-82.3001724
Lu1Tl1,-608.055056435
Rb2O2,-44.993053165
Ni1Cl1,-188.13797071
K1Ge1,-162.222111475
Ti1O1,-80.26145626
Tb1Mg1,-376.656436445
Rb1Ge1,-130.98283517
Be1S1,-26.13578267
Ge1Se1,-256.52875705
Sr1Mg1,-51.379687075
Sc1Bi1,-138.445975355
Yb1As1,-510.38574557
Ge1Sb1,-198.88834337
Tc1Mo1,-149.185306065
Al1Re1,-114.4446779
Li1Pb1,-436.922581215
Bi1N1,-102.472667385
Sr1Cd1,-95.86202919
Mn1Al1,-124.794510615
Na1I1,-234.136150485
Na2O2,-68.134417225
Nb1N1,-175.18471953
Cs1Br1,-51.83374776
Ga1Re1,-232.68795234
V1Cr1,-160.18953472
Yb1Hg1,-656.352366085
Ti1Re1,-154.790286285
Bi1Te1,-105.716686195
Tl1S1,-84.361994415
La1Dy1,-610.327577515
Fe1Ni1,-334.983961855
Rh1N1,-118.452122875
Gd1Hg1,-493.053954295
Al1Pt1,-124.603525375
Hg1Pt1,-260.365732945
Gd1Ag1,-481.07345664
Ta1W1,-150.404261945
Lu1S1,-547.82290893
Zr1Sn1,-129.049913265
Ru1N1,-104.27076363
Tc1Ir1,-171.470411485
Rb1Au1,-161.8309795
Nb1Ru1,-259.289454235
Er1Se1,-460.54897714
Nd1Sb1,-357.485182745
Ti1In1,-131.791388145
K1Cl1,-72.427294125
Cs1H1,-32.03451409
Dy1Hg1,-539.642599905
Nd1P1,-272.24646972
Tb1Te1,-373.61140892
