,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,100,2,20,36,2048.0,True,1e-13,7.8076,-255.65617429,0.8725827600000287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
1,100,4,20,15,4104.0,True,4.3e-13,7.8795,-255.79236647,0.7363905800000339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
2,100,6,20,14,14066.0,True,2.8e-13,7.8854,-255.79226363,0.7364934200000164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
3,100,8,20,15,35110.0,True,1.9e-14,7.8875,-255.7983635,0.7303935500000307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
4,100,10,20,14,65117.0,True,7.8e-13,7.8873,-255.79746411,0.7312929400000314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
5,140,2,20,30,2061.0,True,6.7e-14,7.6912,-255.64270815,0.88604890000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
6,140,4,20,28,9113.0,True,1.2e-13,7.7557,-255.77761955,0.7511375000000271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
7,140,6,20,22,21119.0,True,1.2e-13,7.7729,-255.77715576,0.7516012900000248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
8,140,8,20,21,49054.0,True,2.5e-13,7.7776,-255.78314976,0.7456072900000379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
9,140,10,20,25,110104.0,True,2e-13,7.7791,-255.7822146,0.7465424500000211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
10,180,2,20,30,4048.0,True,2.4e-13,7.6912,-255.6427121,0.8860449500000129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
11,180,4,20,30,11108.0,True,8.6e-14,7.7556,-255.77762289,0.7511341600000208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
12,180,6,20,22,24072.0,True,1.9e-13,7.7728,-255.77715875,0.7515983000000119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
13,180,8,20,20,50095.0,True,1.8e-14,7.7775,-255.78315265,0.745604400000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
14,180,10,20,18,88152.0,True,1.2e-14,7.779,-255.78221747,0.7465395800000181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
15,220,2,20,30,5071.0,True,8.9e-14,7.6912,-255.64271778,0.8860392700000261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
16,220,4,20,29,13067.0,True,1.5e-13,7.7556,-255.77762868,0.751128370000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
17,220,6,20,22,25136.0,True,2.6e-13,7.7728,-255.77716459,0.7515924600000119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
18,220,8,20,24,60061.0,True,6e-14,7.7775,-255.7831585,0.7455985500000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
19,220,10,20,18,90060.0,True,6.1e-14,7.779,-255.78222332,0.7465337300000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
20,260,2,20,31,7074.0,True,3.7e-14,7.6912,-255.64272389,0.8860331600000109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
21,260,4,20,29,13134.0,True,8.5e-14,7.7556,-255.77763465,0.7511224000000141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
22,260,6,20,22,27082.0,True,2e-13,7.7728,-255.77717053,0.7515865200000178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
23,260,8,20,22,55099.0,True,8.7e-15,7.7775,-255.7831644,0.7455926500000203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
24,260,10,20,18,90120.0,True,6.2e-14,7.779,-255.78222922,0.7465278300000193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
25,300,2,20,29,8089.0,True,6.9e-13,7.6912,-255.64272688,0.8860301700000264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
26,300,4,20,29,16101.0,True,7.6e-14,7.7557,-255.77763772,0.751119330000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
27,300,6,20,22,29034.0,True,1.9e-13,7.7728,-255.77717366,0.7515833900000359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
28,300,8,20,22,57074.0,True,7.7e-13,7.7775,-255.78316755,0.7455895000000226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
29,300,10,20,18,92137.0,True,9.5e-14,7.779,-255.78223237,0.7465246800000216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479155672823219,0.0,0.520844327176781,0.0,0.0
